intersectionID,intersection,global_timestamp,objectID,type,object_timestamp,heading,speed,location.type,location.coordinates[0],location.coordinates[1],size.width,size.length
27481,MLK_Georgia,2025-09-16T16:41:39.096567,37563,vehicle,2025-09-16T16:41:39.096567,24742,8191,Point,35.0457684,-85.3082543,199.0,459.0
27481,MLK_Georgia,2025-09-16T16:41:39.096567,1182,vehicle,2025-09-16T16:41:39.096567,25364,8191,Point,35.0457643,-85.3082445,222.0,540.0
27481,MLK_Georgia,2025-09-16T16:41:39.096567,61801,vehicle,2025-09-16T16:41:39.096567,7693,8191,Point,35.045776,-85.3083033,209.0,473.0
27481,MLK_Georgia,2025-09-16T16:41:39.096567,62400,vehicle,2025-09-16T16:41:39.096567,7507,8191,Point,35.0457787,-85.3083036,199.0,447.0
27481,MLK_Georgia,2025-09-16T16:41:39.096567,18608,vehicle,2025-09-16T16:41:39.096567,8971,8191,Point,35.0457266,-85.3082997,253.0,728.0
27481,MLK_Georgia,2025-09-16T16:41:39.096567,15222,vru,2025-09-16T16:41:39.096567,8733,8191,Point,35.0457477,-85.3082866,,
27481,MLK_Georgia,2025-09-16T16:41:39.096567,41199,vru,2025-09-16T16:41:39.096567,16604,8191,Point,35.045807,-85.3082983,,
27481,MLK_Georgia,2025-09-16T16:41:39.096567,62524,vru,2025-09-16T16:41:39.096567,16714,8191,Point,35.0457703,-85.3082777,,
27481,MLK_Georgia,2025-09-16T16:41:39.096567,42200,vru,2025-09-16T16:41:39.096567,16687,8191,Point,35.0457714,-85.308278,,
27481,MLK_Georgia,2025-09-16T16:41:39.356892,37563,vehicle,2025-09-16T16:41:39.356892,24114,8191,Point,35.0457685,-85.3082543,199.0,459.0
27481,MLK_Georgia,2025-09-16T16:41:39.356892,1182,vehicle,2025-09-16T16:41:39.356892,25746,8191,Point,35.0457643,-85.3082446,222.0,540.0
27481,MLK_Georgia,2025-09-16T16:41:39.356892,61801,vehicle,2025-09-16T16:41:39.356892,7787,8191,Point,35.045776,-85.3083031,209.0,473.0
27481,MLK_Georgia,2025-09-16T16:41:39.356892,62400,vehicle,2025-09-16T16:41:39.356892,7663,8191,Point,35.0457786,-85.308303,199.0,446.0
27481,MLK_Georgia,2025-09-16T16:41:39.356892,15222,vru,2025-09-16T16:41:39.356892,8313,8191,Point,35.045748,-85.3082865,,
27481,MLK_Georgia,2025-09-16T16:41:39.356892,41199,vru,2025-09-16T16:41:39.356892,17314,8191,Point,35.0458069,-85.3082983,,
27481,MLK_Georgia,2025-09-16T16:41:39.356892,62524,vru,2025-09-16T16:41:39.356892,16358,8191,Point,35.04577,-85.3082778,,
27481,MLK_Georgia,2025-09-16T16:41:39.356892,42200,vru,2025-09-16T16:41:39.356892,16605,8191,Point,35.0457708,-85.3082782,,
unknown,Unknown Intersection,2025-09-16T16:41:39.519926,37563,vehicle,2025-09-16T16:41:39.519926,23772,8191,Point,35.0457685,-85.3082544,199.0,458.0
unknown,Unknown Intersection,2025-09-16T16:41:39.519926,1182,vehicle,2025-09-16T16:41:39.519926,26240,8191,Point,35.0457643,-85.3082446,222.0,540.0
unknown,Unknown Intersection,2025-09-16T16:41:39.519926,61801,vehicle,2025-09-16T16:41:39.519926,7833,8191,Point,35.045776,-85.3083031,209.0,473.0
unknown,Unknown Intersection,2025-09-16T16:41:39.519926,62400,vehicle,2025-09-16T16:41:39.519926,7924,8191,Point,35.0457785,-85.3083029,199.0,446.0
unknown,Unknown Intersection,2025-09-16T16:41:39.519926,1485,vehicle,2025-09-16T16:41:39.519926,0,8191,Point,35.0457814,-85.3083192,199.0,452.0
unknown,Unknown Intersection,2025-09-16T16:41:39.519926,15222,vru,2025-09-16T16:41:39.519926,8157,8191,Point,35.0457482,-85.3082864,,
unknown,Unknown Intersection,2025-09-16T16:41:39.519926,41199,vru,2025-09-16T16:41:39.519926,17986,8191,Point,35.0458069,-85.3082983,,
unknown,Unknown Intersection,2025-09-16T16:41:39.519926,62524,vru,2025-09-16T16:41:39.519926,17225,8191,Point,35.0457699,-85.308278,,
unknown,Unknown Intersection,2025-09-16T16:41:39.519926,42200,vru,2025-09-16T16:41:39.519926,15696,8191,Point,35.0457708,-85.3082782,,
27481,MLK_Georgia,2025-09-16T16:41:39.741357,1182,vehicle,2025-09-16T16:41:39.741357,17353,8191,Point,35.0457643,-85.3082446,222.0,539.0
27481,MLK_Georgia,2025-09-16T16:41:39.741357,61801,vehicle,2025-09-16T16:41:39.741357,8672,8191,Point,35.0457759,-85.308303,209.0,473.0
27481,MLK_Georgia,2025-09-16T16:41:39.741357,62400,vehicle,2025-09-16T16:41:39.741357,6221,8191,Point,35.0457785,-85.3083028,199.0,445.0
27481,MLK_Georgia,2025-09-16T16:41:39.741357,1485,vehicle,2025-09-16T16:41:39.741357,7216,8191,Point,35.0457814,-85.3083185,203.0,460.0
27481,MLK_Georgia,2025-09-16T16:41:39.741357,15222,vru,2025-09-16T16:41:39.741357,2447,8191,Point,35.0457483,-85.3082863,,
27481,MLK_Georgia,2025-09-16T16:41:39.741357,41199,vru,2025-09-16T16:41:39.741357,13962,8191,Point,35.045807,-85.3082983,,
27481,MLK_Georgia,2025-09-16T16:41:39.741357,62524,vru,2025-09-16T16:41:39.741357,19222,8191,Point,35.0457696,-85.3082782,,
27481,MLK_Georgia,2025-09-16T16:41:39.741357,42200,vru,2025-09-16T16:41:39.741357,15649,8191,Point,35.0457703,-85.3082783,,
27481,MLK_Georgia,2025-09-16T16:41:39.741357,25658,vru,2025-09-16T16:41:39.741357,14253,8191,Point,35.0458182,-85.3082594,,
unknown,Unknown Intersection,2025-09-16T16:41:40.016252,1182,vehicle,2025-09-16T16:41:40.016252,16617,8191,Point,35.0457643,-85.3082446,222.0,539.0
unknown,Unknown Intersection,2025-09-16T16:41:40.016252,61801,vehicle,2025-09-16T16:41:40.016252,14351,8191,Point,35.0457759,-85.308303,209.0,474.0
unknown,Unknown Intersection,2025-09-16T16:41:40.016252,62400,vehicle,2025-09-16T16:41:40.016252,9482,8191,Point,35.0457785,-85.3083028,199.0,445.0
unknown,Unknown Intersection,2025-09-16T16:41:40.016252,1485,vehicle,2025-09-16T16:41:40.016252,7064,8191,Point,35.0457814,-85.3083171,205.0,462.0
